upload_date,Customer Name,Customer ID,Brokerage/Asset,Opportunity Name,Go-Live Date,Expiration Date,Award Type,Lane ID (From Bid),lane_name,orig_city,orig_state,orig_zip,orig region,orig country,orig loading type,dest city,dest state,dest zip,dest region,dest country,dest unloading type,Multi_Stop,Customer Provided Miles,Equipment TYpe,Mode Type,Lane_Type,hazmat,tanker endorsement,Temp Requirements,Volume provided by customer,Volume time frame provided by customer,Truck cost,All in Customer,Awarded Linehaul,Awarded LH RPM,UF Flag
1/25/2023,Community Coffee,ZZCOBALA,Brokerage,Community Coffee Q1 2023 RFP,1/1/2023,3/31/2023,Primary,850154,"Knoxville, TN - Memphis, TN - VAN",Knoxville,TN,37921,,USA,LIVE,Memphis,TN,38141,,USA,LIVE,FALSE,388,VAN,FTL,Point to Point,FALSE,FALSE,,30,Quarterly,$925.00 ,"$1,005.43 ",,,No
1/25/2023,Community Coffee,ZZCOBALA,Brokerage,Community Coffee Q1 2023 RFP,1/1/2023,3/31/2023,Primary,850137,"Loxley, AL - Port Allen, LA - VAN",Loxley,AL,36551,,USA,LIVE,Port Allen,LA,70767,,USA,LIVE,FALSE,222,VAN,FTL,Point to Point,FALSE,FALSE,,12,Quarterly,$645.00 ,$716.67 ,,,No
1/25/2023,Community Coffee,ZZCOBALA,Brokerage,Community Coffee Q1 2023 RFP,1/1/2023,3/31/2023,Primary,850149,"Tallapoosa, GA - Memphis, TN - VAN",Tallapoosa,GA,30176,,USA,LIVE,Memphis,TN,38141,,USA,LIVE,FALSE,322,VAN,FTL,Point to Point,FALSE,FALSE,,12,Quarterly,$705.00 ,$783.33 ,,,No
1/25/2023,Community Coffee,ZZCOBALA,Brokerage,Community Coffee Q1 2023 RFP,1/1/2023,3/31/2023,Primary,850309,"Memphis, TN - Houston, TX - VAN",Memphis,TN,38141,,USA,LIVE,Houston,TX,77040,,USA,LIVE,FALSE,587,VAN,FTL,Point to Point,FALSE,FALSE,,4,Quarterly,"$1,567.28 ","$1,703.57 ",,,No
1/25/2023,Community Coffee,ZZCOBALA,Brokerage,Community Coffee Q1 2023 RFP,1/1/2023,3/31/2023,Primary,850308,"Memphis, TN - Dallas, TX - VAN",Memphis,TN,38141,,USA,LIVE,Dallas,TX,75247,,USA,LIVE,FALSE,479,VAN,FTL,Point to Point,FALSE,FALSE,,4,Quarterly,"$1,118.59 ","$1,249.82 ",,,No
1/25/2023,Community Coffee,ZZCOBALA,Brokerage,Community Coffee Q1 2023 RFP,1/1/2023,3/31/2023,Primary,850262,"Tallapoosa, GA - Birmingham, AL - VAN",Tallapoosa,GA,30176,,USA,LIVE,Birmingham,AL,35209,,USA,LIVE,FALSE,105,VAN,FTL,Point to Point,FALSE,FALSE,,2,Quarterly,$541.73 ,$601.92 ,,,Yes
